"Website Restrictions","Website Restrictions"
"Route Restriction Mode","Route Restriction Mode"
"Route Names","Route Names"
"Route names separated by a space, new-line, or comma","Route names separated by a space, new-line, or comma"
"Full Action Restriction Mode","Full Action Restriction Mode"
"Full Action Names","Full Action Names"
"Full action names separated by a space, new-line, or comma","Full action names separated by a space, new-line, or comma"
"None","None"
"Whitelist","Whitelist"
"Blacklist","Blacklist"
